	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
2104	CHEMBL3217160	nM	73.0	Cc1ccc(-c2c(CC(=O)NCC(=O)O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	6.136677139879544	<rdkit.Chem.rdchem.Mol object at 0x7f870f967300>
2105	CHEMBL1614729	nM	22.000000000000004	Cc1ccc(-c2c(CN)c(CC(C)C)nc(C)c2C(=O)O)cc1	6.657577319177793	<rdkit.Chem.rdchem.Mol object at 0x7f870f967370>
2106	CHEMBL1651763	nM	0.87	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2sccc2c1=O	8.060480747381382	<rdkit.Chem.rdchem.Mol object at 0x7f870f9673e0>
2107	CHEMBL1651764	nM	1.32	Cc1csc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c12	7.87942606879415	<rdkit.Chem.rdchem.Mol object at 0x7f870f967450>
2108	CHEMBL1651765	nM	88.82	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2scc(C(F)(F)F)c2c1=O	6.051489231162343	<rdkit.Chem.rdchem.Mol object at 0x7f870f9674c0>
2109	CHEMBL1651766	nM	0.33	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccsc2c1=O	8.481486060122112	<rdkit.Chem.rdchem.Mol object at 0x7f870f967530>
2110	CHEMBL1651767	nM	1.72	Cc1csc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc12	7.764471553092451	<rdkit.Chem.rdchem.Mol object at 0x7f870f9675a0>
2111	CHEMBL376359	nM	6.702517673436424	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O	7.173762032180473	<rdkit.Chem.rdchem.Mol object at 0x7f870f967610>
2112	CHEMBL1650449	nM	10.0	Cn1c(=O)cc(N2CCC[C@@](C)(N)C2)n(Cc2cc(F)ccc2C#N)c1=O	7.0	<rdkit.Chem.rdchem.Mol object at 0x7f870f967680>
2113	CHEMBL1650448	nM	3800.0	Cn1c(=O)cc(N2CCCCC(N)C2)n(Cc2ccccc2C#N)c1=O	4.42021640338319	<rdkit.Chem.rdchem.Mol object at 0x7f870f9676f0>
