SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2F)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL219278",825,Done,4.18,-4.75092,"glide_grid_1X70",-4.97312,-1.3439,-0.237693,-0,-1.04247,-31.3148,-6.89439,0.497951,-0.247111,-50.4828,-38.2092,3.83865
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2F)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL219278",826,Done,3.8,-7.27128,"glide_grid_1X70",-7.95998,-1.03236,-0.300346,-0,-1.64051,-35.0601,-20.9733,0.346977,-0.434731,-90.2249,-56.0335,8.54503
C[C@H](c1nc(-c2ccccc2F)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL219369",827,Done,4.4,-4.82725,"glide_grid_1X70",-5.04945,-1.52645,-0.245594,-0,-1.97039,-28.9464,-2.59517,0.735853,-0.206268,-37.8394,-31.5416,11.5413
C[C@H](c1nc(-c2ccccc2F)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL219369",828,Done,3.83,-6.67299,"glide_grid_1X70",-7.36169,-1.4948,-0.285178,-0,-2.50648,-25.6638,-13.6946,0.512237,-0.250086,-69.8139,-39.3585,3.39521
C[C@H](c1nc(-c2ccccc2C(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL219370",829,Done,4.83,-4.45312,"glide_grid_1X70",-4.67532,-1.07663,-0.281983,-0,-1.27181,-30.786,-5.80106,0.568051,-0.203487,-45.0747,-36.587,5.53378
C[C@H](c1nc(-c2ccccc2C(F)(F)F)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL219370",830,Done,4.83,-7.46381,"glide_grid_1X70",-8.15251,-1.45024,-0.423653,-0,-2.25297,-31.0228,-17.5396,0.395699,-0.239282,-82.2586,-48.5624,4.53718
C[C@H](c1nc(-c2cc(Cl)cc(Cl)c2)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL219382",831,Done,3.09,-4.04693,"glide_grid_1X70",-4.26913,-0.910996,-0.276226,-0,-1.19365,-31.8385,-4.98412,0.565603,-0.114317,-46.605,-36.8226,2.73802
C[C@H](c1nc(-c2ccc(S(N)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL219602",833,Done,4.04,-5.3378,"glide_grid_1X70",-5.5628,-1.18253,-0.209105,-0,-1.22521,-37.7667,-8.22924,0.538715,-0.361952,-55.6166,-45.996,14.5183
C[C@H](c1nc(-c2ccc(S(N)(=O)=O)cc2)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL219602",834,Done,3.86,-7.1502,"glide_grid_1X70",-7.8418,-1.24954,-0.420403,-0,-1.50681,-36.7751,-17.9842,0.375312,-0.503971,-84.8672,-54.7592,10.8553
C[C@H](c1nc(-c2ccc(Cl)cc2)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL220021",835,Done,3.2,-4.87313,"glide_grid_1X70",-5.09533,-1.73796,-0.227758,-0,-1.43671,-30.6157,-4.8195,0.67321,-0.112394,-46.6941,-35.4352,2.74541
