,molecule_chembl_id,smiles,IC50,pIC50,molLogP,tpsa,MolWT,NumRotatableBonds,NumHDonors,NumHAcceptors,ro5_fulfilled
798,CHEMBL390194,N[C@H]1CN(c2ccncc2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,125.0,5.903089986991944,3.453400000000002,79.45,421.3409999999997,3,2,5,True
799,CHEMBL230341,N[C@H]1CN(c2cccnc2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,144.0,5.841637507904751,3.453400000000002,79.45,421.3409999999997,3,2,5,True
800,CHEMBL230340,N[C@H]1CN(c2ccccn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,58.0,6.236572006437063,3.453400000000002,79.45,421.3409999999997,3,2,5,True
801,CHEMBL233127,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1Cc2ccccc2C1,5.6,7.251811972993799,1.4099799999999998,76.44,352.43799999999965,3,1,4,True
802,CHEMBL389324,Cc1cc(C)c([C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)c(C)c1O,5.3,7.275724130399211,2.2775400000000006,76.36,327.4279999999996,6,2,4,True
803,CHEMBL244010,COc1c(O)ccc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,7.1,7.1487416512809245,1.6693,85.59,329.39999999999964,6,2,5,True
804,CHEMBL413797,Cc1ccc(O)c(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,4.9,7.309803919971486,1.96912,76.36,313.40099999999956,5,2,4,True
805,CHEMBL244009,CCOc1cc(O)cc(OCC)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,22.0,6.657577319177793,2.14968,94.82,373.4529999999996,9,2,6,True
806,CHEMBL390418,CCc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,8.9,7.050609993355087,2.2230999999999996,76.36,327.42799999999954,6,2,4,True
807,CHEMBL244008,COc1cc(O)cc(OC)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,23.0,6.638272163982407,1.3694799999999996,94.82,345.39899999999966,7,2,6,True
808,CHEMBL243800,COc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,8.3,7.080921907623926,1.6693,85.59,329.39999999999964,6,2,5,True
809,CHEMBL243799,Cc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,3.3,7.481486060122113,1.96912,76.36,313.40099999999956,5,2,4,True
810,CHEMBL390221,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccc(O)cc2)CN1,2.5,7.602059991327962,1.3522799999999997,76.36,285.3469999999996,3,2,4,True
811,CHEMBL243798,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2cccc(O)c2)CN1,3.9,7.4089353929735005,1.3522799999999997,76.36,285.3469999999996,3,2,4,True
812,CHEMBL245059,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccccc2O)CN1,9.1,7.040958607678906,1.3522799999999997,76.36,285.3469999999996,3,2,4,True
813,CHEMBL396513,Cc1cccc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,6.1,7.214670164989233,2.2635200000000006,56.13,297.40199999999953,4,1,3,True
814,CHEMBL244843,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](c2ccccc2)CN1,16.0,6.795880017344075,1.6466799999999997,56.13,269.34799999999973,2,1,3,True
815,CHEMBL396512,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccccc2)CN1,3.5,7.455931955649724,1.6466799999999997,56.13,269.34799999999973,2,1,3,True
816,CHEMBL389138,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC(C2C3CC4CC(C3)CC2C4)CN1,7.8,7.107905397309519,2.55138,56.13,327.47199999999947,2,1,3,True
817,CHEMBL242492,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C2CCCCC2)CN1,2.4,7.619788758288394,2.05938,56.13,275.3959999999996,2,1,3,True
818,CHEMBL242987,CC(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,2.9,7.537602002101044,1.5251799999999998,56.13,249.35800000000017,5,1,3,True
819,CHEMBL437570,C=C(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,5.7,7.244125144327507,1.4452799999999995,56.13,247.34200000000016,4,1,3,True
