SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N#C[C@@H]1CCCN1C(=O)CN[C@H]1CC[C@H](Nc2nc3ccccc3s2)CC1,"CHEMBL3084820",3516,"NO POSES STORED FOR LIGAND",4.98,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CN[C@H]1CC[C@H](Oc2ccc(Cl)cc2)CC1,"CHEMBL3084821",3518,"NO GOOD POSES FOUND",0.1,,,,,,,,,,,,,,
CC(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@]([NH2+]CC(=O)N4CCC[C@H]4C#N)(C3)C1)C2,"CHEMBL3084822",3519,"NO POSES STORED FOR LIGAND",2.83,,,,,,,,,,,,,,
CC(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@](NCC(=O)N4CCC[C@H]4C#N)(C3)C1)C2,"CHEMBL3084822",3520,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CN[C@@]12C[C@H]3C[C@@H](C1)C[C@](OC(=O)Nc1ccccc1)(C3)C2,"CHEMBL3084823",3522,"NO POSES STORED FOR LIGAND",6.49,,,,,,,,,,,,,,
COc1ccc(NC(=O)O[C@@]23C[C@@H]4C[C@@H](C[C@]([NH2+]CC(=O)N5CCC[C@H]5C#N)(C4)C2)C3)cc1,"CHEMBL3084824",3523,"NO POSES STORED FOR LIGAND",5.97,,,,,,,,,,,,,,
COc1ccc(NC(=O)O[C@@]23C[C@@H]4C[C@@H](C[C@](NCC(=O)N5CCC[C@H]5C#N)(C4)C2)C3)cc1,"CHEMBL3084824",3524,"NO POSES STORED FOR LIGAND",6.75,,,,,,,,,,,,,,
CC(C)(C)NC(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@]([NH2+]CC(=O)N4CCC[C@H]4C#N)(C3)C1)C2,"CHEMBL3084825",3525,"NO POSES STORED FOR LIGAND",5.97,,,,,,,,,,,,,,
CC(C)(C)NC(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@](NCC(=O)N4CCC[C@H]4C#N)(C3)C1)C2,"CHEMBL3084825",3526,"NO POSES STORED FOR LIGAND",6.82,,,,,,,,,,,,,,
O=C([O-])[C@@H]1CCCN1C(=O)C[NH2+][C@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3084826",3527,"NO POSES STORED FOR LIGAND",1.88,,,,,,,,,,,,,,
